job;salary;id;city;year;age
Учитель;45134;3627768;Касерес;2002;65
Психолог;114328;3138297;Артейхо;2022;61
Повар;125599;2134770;Вильнюс;2017;53
Строитель;85846;8526014;Москва;2006;40
Оператор call-центра;96604;9685450;Тарраса;2004;40
Архитектор;185315;9821656;Рига;1999;58
IT-специалист;178481;6547988;Мерида;2017;24
Строитель;80026;2093080;Скопье;2010;34
Медсестра;119407;8826566;Ташкент;2001;45
Строитель;117397;1408300;Алькала-де-Энарес;2018;21
Водитель;36337;3112421;Санкт-Петербург;2013;53
Архитектор;28837;1920211;Картахена;2014;28
Учитель;134468;9186254;Мурсия;2022;36
Строитель;73761;9389747;Овьедо;2014;65
Оператор call-центра;115078;5774330;Махадаонда;2008;50
Учитель;72373;2652470;Баку;2022;65
Менеджер;143324;3064737;Будапешт;2001;31
Оператор call-центра;36530;5350079;Вроцлав;2007;62
Врач;181859;3315019;Куэнка;2018;62
Косметолог;198964;7501592;Вильявисиоса;2002;42
Водитель;87397;7567981;Ташкент;2014;30
Косметолог;126863;8482504;Кишинев;2002;22
Учитель;95526;9152734;Навалькарнеро;2009;53
Программист;193217;7113579;Ереван;2020;30
Архитектор;25614;9044208;Афины;2017;44
Продавец;113190;3327492;Сеговия;2019;25
Учитель;60227;7498849;Камбадос;2004;21
Строитель;127728;2247931;Мартоса;1999;33
Повар;61415;5609440;Льейда;2008;38
Водитель;163541;7919981;Картахена;2007;22
Оператор call-центра;175905;1606895;Барселона;2016;48
Инженер;140274;5999049;Луарка;2015;60
Архитектор;46580;5360061;Ташкент;2018;39
Учитель;141575;1790275;Алма-Ата;2011;43
Учитель;81771;6032034;Скопье;2017;57
Менеджер;119851;1391401;Любляна;2014;64
Инженер;93652;1575365;Рига;2005;63
Бухгалтер;54120;5223609;Рига;2003;52
Врач;90207;8236970;Таллин;2019;44
Строитель;126361;2889931;Кишинев;2021;47
Повар;139472;7282755;Подгорица;2013;18
IT-специалист;104405;4490459;Мурсия;2004;59
Продавец;138879;9365650;Барселона;2013;26
Оператор call-центра;107728;2952512;Барселона;2022;18
Строитель;20537;7186657;Севилья;2012;24
Учитель;66138;1766634;Душанбе;2016;47
Менеджер;21491;2913853;Сараево;2014;65
Инженер;30159;3836125;Эль-Пуэрто-де-Санта-Мария;2016;45
Бухгалтер;83976;3848364;Трухильо;2005;25
Инженер;174976;2792765;Фигерас;1999;46
Учитель;127328;5205000;Сеговия;2009;40
Косметолог;179124;1481062;Краков;2002;23
Продавец;66811;4625674;Москва;2006;51
Косметолог;182579;4883701;Барселона;1999;24
Менеджер;112736;7133906;Ла-Корунья;2015;26
Инженер;146534;6364775;Таллин;2022;22
Косметолог;169329;7615732;Алма-Ата;2018;62
Архитектор;190306;9585515;Москва;2015;30
Водитель;142376;6523765;Хельсинки;2021;38
Водитель;147977;3912821;Луарка;2022;40
Бухгалтер;96367;2745595;Вильнюс;2015;47
Повар;187720;3475701;Артейхо;1999;52
Врач;156791;5550067;Алькала-де-Энарес;2013;32
Менеджер;144174;6766206;Кишинев;2011;58
Программист;85738;6612074;Трухильо;2020;38
Медсестра;87814;5906343;Варшава;2010;63
Программист;172087;4272249;Хихон;2017;34
Оператор call-центра;171236;8840730;Касерес;2007;38
Программист;41463;4394367;Монсон;2022;42
Медсестра;99359;1274081;Махадаонда;2015;37
Врач;20844;7094216;Вильнюс;2003;31
Повар;40673;3051271;Таллин;2020;33
Продавец;152017;3427796;Фигерас;2008;65
Менеджер;163596;5778600;Вильявисиоса;2004;51
Врач;118081;2682224;Сан-Себастьян;2017;32
Строитель;147740;8715235;Осера;2018;36
Оператор call-центра;153457;4224958;Сьюдад-Реаль;2009;52
Архитектор;156799;8415149;Кишинев;2012;29
Инженер;156651;3494048;Самора;2010;27
Программист;34566;1147867;Прага;2015;34
Медсестра;71881;6712403;Сория;2004;31
Врач;58563;9585360;Сеговия;2005;22
Менеджер;165520;4482304;Осера;2010;19
Косметолог;119410;3702534;Вальядолид;2021;46
Продавец;69675;9829792;Пласенсия;2012;43
Косметолог;65194;5889941;Мадрид;2021;61
Учитель;136242;6887640;Афины;2000;44
Косметолог;141920;1298449;Лас-Росас;1999;30
Учитель;132394;5745785;Вальядолид;2014;22
Архитектор;110708;3145953;Подгорица;2006;32
Психолог;78492;8707295;Ла-Корунья;2018;43
Психолог;68616;5184712;Сан-Себастьян;2000;64
Учитель;175852;1285797;Санкт-Петербург;2004;40
Инженер;86131;5374624;Эль-Пуэрто-де-Санта-Мария;2002;52
