product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Туалетная бумага,9595,103,Товары для дома,Отличается удобством использования и экономичностью в расходе.,1990-04-11,2012-02-08,2.96,On Backorder
2,Груша,3123,600,Фрукты,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2021-07-09,2028-04-10,0.78,In Stock
3,Пакеты для дня рождения,1151,625,Товары для дома,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2002-04-11,2012-02-16,0.24,Delivered
4,Кокос,3133,191,Фрукты,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2020-01-03,2024-04-02,3.07,New
5,Черешня,2895,855,Фрукты,Рекомендуется для ежедневного потребления в умеренных количествах.,1990-06-11,2000-05-10,0.65,Cancelled
6,Укроп,2368,346,Овощи,Является важным элементом спортивного питания для восстановления после тренировок.,1991-02-02,1991-06-03,3.52,Awaiting Review
7,Черный перец горошком,199,144,Бакалея,Является важным элементом спортивного питания для восстановления после тренировок.,2009-01-06,2016-11-01,1.82,Sold
8,Пакеты для спортзала,4421,544,Товары для дома,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1999-01-21,2008-05-10,3.19,Temporarily Unavailable
9,Ананас,112,902,Фрукты,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2005-05-20,2009-04-11,4.05,Pending
10,Азовская,8165,607,Напитки,Помогает поддерживать нормальный уровень сахара в крови.,1997-05-06,2007-08-05,0.42,Refunded
11,Ивантеевская,4024,120,Напитки,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2009-01-13,2028-06-15,2.33,Awaiting Payment
12,Каша из пшена,6195,277,Бакалея,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2004-01-07,2026-10-02,4.89,Pending
13,Клинская,4982,27,Напитки,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",1995-06-13,2006-02-12,3.28,Pending
14,Косуля,5636,624,Мясо,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2018-01-03,2022-05-03,4.89,On Backorder
15,Бекон,8310,456,Мясо,"Подходит для использования в диетах, направленных на снижение веса.",2007-01-15,2027-05-03,2.06,Shipping
16,Авокадо,4876,436,Фрукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",1994-03-06,2029-01-06,2.44,Refunded
17,Эмменталь,128,529,Молочные продукты,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2015-01-03,2027-02-04,1.8,New
18,Уральская,1506,775,Напитки,Отличается легкостью в переваривании и усвоении организмом.,2020-01-27,2020-04-05,0.62,Delivered
19,Кокос,4811,279,Фрукты,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2020-01-06,2027-09-03,4.72,Returned
20,Чизбургеры,3325,537,Мясо,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2006-02-03,2021-04-02,3.62,Available for Pickup
21,Павловская,7375,403,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,2014-01-20,2015-05-08,2.81,New
22,Пакеты для Дня матери,9697,132,Товары для дома,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2005-04-17,2009-01-09,2.5,Awaiting Review
23,Пищевая пленка,7419,978,Товары для дома,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2021-01-02,2030-01-13,1.63,On Backorder
24,Бамия,1379,59,Овощи,Помогает укрепить иммунную систему и защитить организм от инфекций.,1996-02-04,2023-02-21,4.85,Pending
25,Простокваша,7902,146,Молочные продукты,Подходит для людей с чувствительным пищеварением.,2021-05-03,2027-01-13,2.86,Out of Stock
26,Цукини,8272,413,Овощи,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2008-01-10,2016-05-08,4.94,Sold
27,Сыр,4785,526,Молочные продукты,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2013-07-05,2015-01-06,3.27,Awaiting Payment
28,Мацони,6476,469,Молочные продукты,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2011-02-11,2023-07-01,2.56,Refunded
29,Мука ржаная,2011,457,Бакалея,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",1990-04-22,2005-07-01,1.3,Out of Stock
30,Пакеты для Нового года,1974,979,Товары для дома,Помогает улучшить работу мозга и повысить концентрацию внимания.,1999-09-05,2017-07-01,3.53,Awaiting Payment
31,Индюшатина,7610,33,Мясо,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2015-07-17,2024-04-03,2.8,Returned
32,Перец болгарский,8635,185,Овощи,Прошел все необходимые сертификации и соответствует международным стандартам.,1990-04-04,2022-10-06,2.96,Refunded
33,Коломенская,6782,9,Напитки,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2013-01-02,2022-01-20,0.64,Delivered
34,Забайкальская,5958,172,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,2003-05-11,2020-02-01,1.51,Cancelled
35,Фарш говяжий,8477,839,Мясо,Идеален для перекусов между основными приемами пищи.,1991-01-14,1999-04-03,3.46,Awaiting Payment
36,Манго,3399,753,Фрукты,"Подходит для людей всех возрастов, включая детей и пожилых.",1992-01-13,2005-05-06,4.35,Pending
