product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Пакеты для фестиваля,3991,882,Товары для дома,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2021-01-11,2021-01-11,1.46,Cancelled
2,Бритвенный станок,8724,471,Товары для дома,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2014-07-04,2014-07-04,1.24,Pending
3,Камамбер,1272,484,Молочные продукты,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2003-03-22,2003-03-22,2.03,Awaiting Payment
4,Мортаделла,7238,274,Мясо,Подходит для использования в диетических программах для похудения.,2020-01-14,2020-01-14,3.35,Available for Pickup
5,Кастрюли,7865,105,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,2028-02-11,2028-02-11,1.53,Awaiting Payment
6,Редис,4253,382,Овощи,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2014-10-08,2014-10-08,0.27,Delivered
7,Косулятина,2535,38,Мясо,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2019-02-16,2019-02-16,4.5,Sold
8,Салфетки сухие,2224,893,Товары для дома,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2016-04-03,2016-04-03,0.23,Delivered
9,Черника,747,647,Фрукты,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2028-03-02,2028-03-02,0.96,Backorder
10,Каша из булгура,9005,702,Бакалея,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2020-07-26,2020-07-26,0.24,Awaiting Review
11,Тефтели,2667,852,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,2029-01-10,2029-01-10,0.59,Shipping
12,Тан,9678,325,Молочные продукты,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2020-01-16,2020-01-16,1.22,Returned
13,Темный шоколад,8661,460,Бакалея,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2017-04-02,2017-04-02,3.96,Available for Pickup
14,Жемчужина Байкала,8767,422,Напитки,Рекомендуется для ежедневного потребления в умеренных количествах.,2012-05-02,2012-05-02,2.85,Refunded
15,Пакеты для Дня матери,8962,952,Товары для дома,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2023-01-01,2023-01-01,2.82,Pending
16,Эмменталь,1589,791,Молочные продукты,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2021-07-02,2021-07-02,3.85,Delivered
17,Курт,4271,145,Молочные продукты,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2013-01-01,2013-01-01,4.97,Pending
18,Евпатория,8532,639,Напитки,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2025-01-10,2025-01-10,3.41,Shipping
19,Сырой арахис,5701,766,Бакалея,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2027-01-02,2027-01-02,2.93,Backorder
20,Каймак,5582,302,Молочные продукты,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2019-09-02,2019-09-02,3.44,Cancelled
21,Пакеты для конференции,971,913,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2025-01-05,2025-01-05,3.17,Sold
